engine_id,cycle,temp_inlet,temp_lpc,temp_hpc,fan_speed,pressure_static,pressure_lpc,fuel_flow,label
1,1,641.82,1589.7,1400.6,554.36,47.47,521.66,8.4195,0
1,2,642.15,1591.82,1403.14,553.75,47.49,522.28,8.4318,0
1,3,642.35,1587.99,1404.2,554.26,47.27,522.42,8.4178,0
1,4,642.35,1582.79,1401.87,554.45,47.13,522.86,8.3682,0
1,5,642.37,1582.85,1406.22,554.0,47.28,522.19,8.4294,0
1,6,642.1,1584.47,1398.37,554.67,47.16,521.68,8.4108,0
1,7,642.48,1592.32,1397.77,554.34,47.36,522.32,8.3974,0
1,8,642.56,1582.96,1400.97,553.85,47.24,522.47,8.4076,0
1,9,642.12,1590.98,1394.8,553.69,47.29,521.79,8.3728,0
1,10,641.71,1591.24,1400.46,553.59,47.03,521.79,8.4286,0
1,11,642.28,1581.75,1400.64,554.54,47.15,521.4,8.434,0
1,12,642.06,1583.41,1400.15,554.52,47.18,521.8,8.3938,0
1,13,643.07,1582.19,1400.83,553.44,47.38,521.85,8.4152,0
1,14,642.35,1592.95,1399.16,554.48,47.44,521.67,8.3964,0
1,15,642.43,1583.82,1402.13,553.64,47.3,522.5,8.4199,0
1,16,642.13,1587.98,1404.5,553.94,47.24,521.49,8.3936,0
1,17,642.58,1584.96,1399.95,553.8,47.12,521.89,8.4542,0
1,18,642.62,1591.04,1396.12,554.2,47.21,521.76,8.4028,0
1,19,641.79,1587.56,1400.35,554.18,47.4,521.89,8.4321,0
1,20,643.04,1581.11,1405.23,554.81,47.22,522.07,8.421,0
1,21,642.37,1586.07,1398.13,554.08,47.15,522.42,8.4049,0
1,22,642.77,1592.93,1400.57,553.63,47.24,522.0,8.4034,0
1,23,642.14,1588.19,1394.75,553.98,47.25,521.52,8.424,0
1,24,642.38,1590.83,1398.81,553.49,47.44,522.13,8.3891,0
1,25,642.77,1594.1,1399.39,554.0,47.36,522.56,8.3917,0
1,26,642.16,1589.08,1396.07,554.11,47.26,522.28,8.426,0
1,27,642.44,1590.47,1401.84,554.07,47.37,522.0,8.4046,0
1,28,642.35,1582.84,1399.13,554.68,47.41,522.57,8.4323,0
1,29,641.91,1584.83,1400.99,554.25,47.24,522.41,8.4189,0
1,30,642.2,1593.52,1396.08,554.37,47.4,522.19,8.4065,0
1,31,642.02,1584.18,1396.9,554.13,47.41,521.95,8.4104,0
1,32,642.33,1591.38,1400.36,554.96,47.25,521.92,8.4148,0
1,33,642.71,1588.4,1402.43,554.61,47.28,521.91,8.3753,0
1,34,642.54,1581.47,1400.48,554.3,47.47,521.7,8.4349,0
1,35,642.44,1590.0,1403.0,554.3,47.31,521.75,8.443,0
1,36,642.54,1581.72,1405.54,554.53,47.25,522.32,8.4246,0
1,37,641.99,1579.11,1398.9,554.63,47.29,522.29,8.4142,0
1,38,641.93,1589.6,1399.5,554.7,47.27,522.42,8.4158,0
1,39,642.01,1583.21,1400.69,553.97,47.12,522.23,8.414,0
1,40,642.24,1582.08,1401.77,554.57,47.33,521.84,8.3784,0
1,41,642.4,1591.31,1403.21,553.72,47.09,522.07,8.437,0
1,42,642.12,1584.66,1401.38,553.94,47.49,522.23,8.4137,0
1,43,642.24,1591.52,1406.05,553.68,47.32,522.74,8.4068,0
1,44,641.93,1586.94,1401.2,554.15,47.45,522.3,8.4201,0
1,45,642.53,1582.42,1399.16,553.83,47.45,521.73,8.4099,0
1,46,642.43,1588.29,1401.27,553.76,47.2,522.02,8.3977,0
1,47,642.21,1580.32,1402.89,554.38,47.22,521.84,8.3973,0
1,48,641.89,1588.51,1399.16,554.02,47.4,521.91,8.4376,0
1,49,642.23,1584.35,1397.76,554.23,47.22,521.37,8.4151,0
1,50,642.77,1588.49,1403.62,553.92,47.47,522.33,8.4116,0
1,51,642.81,1585.54,1400.42,553.73,47.12,521.91,8.4504,0
1,52,642.76,1583.77,1395.57,553.04,47.07,522.1,8.4539,0
1,53,642.61,1579.82,1402.26,554.16,47.29,521.96,8.4418,0
1,54,642.42,1592.59,1401.2,553.95,47.38,522.44,8.4189,0
1,55,642.41,1584.95,1401.58,554.45,47.4,522.11,8.4071,0
1,56,642.49,1586.33,1400.76,553.98,47.26,522.48,8.4022,0
1,57,642.13,1583.67,1402.79,553.42,47.29,521.62,8.4263,0
1,58,641.9,1590.46,1397.99,554.14,47.26,522.21,8.4319,0
1,59,642.33,1596.72,1403.51,554.62,47.26,521.32,8.4476,0
1,60,642.34,1582.75,1403.07,554.0,47.41,522.49,8.3878,0
1,61,642.1,1583.55,1405.52,554.09,47.31,522.34,8.4264,0
1,62,642.17,1581.59,1399.54,554.45,47.28,522.19,8.4071,0
1,63,642.6,1592.14,1395.38,553.48,47.51,521.56,8.4357,0
1,64,642.23,1584.51,1400.11,553.88,47.45,521.82,8.4066,0
1,65,642.28,1584.72,1403.24,553.97,47.56,521.54,8.4406,0
1,66,642.5,1588.5,1399.52,554.0,47.14,521.76,8.3911,0
1,67,642.33,1590.22,1403.02,554.31,47.39,522.64,8.3925,0
1,68,642.51,1582.06,1404.42,554.04,47.36,521.72,8.4242,0
1,69,642.44,1590.7,1401.24,554.65,47.41,522.22,8.4292,0
1,70,642.22,1584.02,1402.78,554.01,47.41,521.93,8.4279,0
1,71,642.21,1580.41,1403.09,554.06,47.3,521.72,8.423,0
1,72,642.41,1579.25,1406.81,553.76,47.27,521.97,8.3951,0
1,73,642.29,1592.04,1397.93,553.88,47.29,522.04,8.404,0
1,74,642.96,1584.65,1401.48,554.03,47.58,522.25,8.4135,0
1,75,641.96,1582.32,1394.82,553.6,47.22,521.77,8.4621,0
1,76,642.21,1589.21,1398.94,553.66,47.44,521.58,8.3996,0
1,77,642.55,1586.3,1400.97,554.61,47.41,521.6,8.453,0
1,78,641.99,1580.76,1404.1,553.47,47.4,522.28,8.3793,0
1,79,642.12,1582.46,1403.93,553.77,47.35,521.85,8.4132,0
1,80,641.94,1591.96,1393.58,553.91,47.64,521.52,8.4235,0
1,81,642.73,1584.82,1402.04,553.88,47.43,521.66,8.4247,0
1,82,642.04,1589.07,1399.17,554.18,47.25,521.95,8.3986,0
1,83,642.66,1588.05,1406.38,553.49,47.22,521.93,8.4128,0
1,84,642.64,1585.52,1406.6,553.91,47.38,521.54,8.4139,0
1,85,642.28,1590.12,1405.96,554.4,47.36,522.3,8.4499,0
1,86,641.84,1588.8,1403.56,553.69,47.38,521.82,8.4173,0
1,87,642.33,1586.69,1413.1,554.1,47.34,521.43,8.4326,0
1,88,641.96,1581.29,1406.09,554.48,47.46,522.2,8.4586,0
1,89,642.24,1584.73,1402.22,553.91,47.46,521.55,8.4489,0
1,90,642.67,1584.38,1412.93,552.88,47.32,521.49,8.3961,0
1,91,641.98,1584.84,1404.76,553.54,47.32,521.55,8.3949,0
1,92,642.89,1590.03,1400.77,553.81,47.45,521.91,8.3982,0
1,93,642.85,1593.74,1408.48,554.07,47.46,521.43,8.421,0
1,94,642.45,1583.27,1404.94,553.86,47.48,521.61,8.4524,0
1,95,642.86,1577.6,1410.1,553.91,47.38,521.92,8.4575,0
1,96,642.19,1584.07,1395.16,553.34,47.39,521.66,8.4311,0
1,97,642.07,1595.77,1407.81,553.4,47.46,521.67,8.4105,0
1,98,642.0,1591.11,1404.56,552.75,47.37,522.31,8.4012,0
1,99,642.46,1592.73,1406.13,553.76,47.4,521.42,8.4481,0
1,100,642.22,1589.63,1411.35,554.22,47.64,521.55,8.4241,0
1,101,642.75,1584.18,1403.41,553.37,47.62,521.89,8.4353,0
1,102,642.85,1589.11,1403.42,553.42,47.49,521.38,8.4561,0
1,103,642.21,1581.27,1403.21,553.64,47.57,521.41,8.4263,0
1,104,642.29,1590.63,1406.25,553.66,47.34,522.38,8.4021,0
1,105,642.01,1588.28,1403.22,553.11,47.31,521.81,8.4326,0
1,106,642.68,1589.05,1404.45,553.6,47.44,521.51,8.4664,0
1,107,642.53,1595.13,1407.73,553.74,47.35,521.75,8.4241,0
1,108,643.49,1585.91,1399.47,554.43,47.61,521.52,8.4133,0
1,109,642.49,1586.45,1409.1,553.59,47.58,521.62,8.3757,0
1,110,642.55,1590.01,1401.27,554.08,47.55,522.01,8.4638,0
1,111,642.67,1584.38,1408.11,553.49,47.62,521.53,8.4447,0
1,112,642.66,1586.46,1401.84,553.19,47.22,521.9,8.4445,0
1,113,642.68,1590.85,1406.59,552.91,47.46,521.75,8.458,0
1,114,642.31,1588.42,1402.97,554.29,47.58,521.68,8.429,0
1,115,642.66,1594.84,1406.6,554.13,47.43,521.36,8.4345,0
1,116,642.64,1580.31,1401.99,554.4,47.43,521.6,8.4059,0
1,117,642.38,1589.77,1409.35,554.59,47.52,521.22,8.4256,0
1,118,642.34,1585.67,1409.34,554.25,47.55,521.31,8.4197,0
1,119,642.67,1596.8,1404.46,553.77,47.55,521.46,8.4194,0
1,120,642.81,1593.78,1407.68,553.66,47.6,521.34,8.4029,0
1,121,642.63,1593.56,1411.9,553.7,47.44,521.3,8.4263,0
1,122,643.3,1593.68,1413.97,553.43,47.6,520.92,8.4256,0
1,123,643.39,1586.66,1403.04,552.64,47.41,521.6,8.4396,0
1,124,642.48,1587.14,1402.28,552.26,47.55,521.4,8.4416,0
1,125,642.96,1585.47,1406.42,552.44,47.63,521.57,8.4079,0
1,126,642.49,1582.64,1418.5,553.72,47.49,521.35,8.4378,0
1,127,642.99,1586.9,1399.49,553.81,47.63,521.34,8.4626,0
1,128,642.47,1593.87,1407.06,552.74,47.62,521.96,8.4413,0
1,129,642.41,1591.33,1408.42,552.42,47.61,522.02,8.4681,0
1,130,642.7,1585.9,1412.25,552.66,47.46,521.49,8.3938,0
1,131,643.01,1585.78,1413.25,553.7,47.7,521.45,8.4328,0
1,132,643.19,1596.06,1405.76,553.16,47.56,521.64,8.4227,0
1,133,642.45,1592.64,1410.11,553.82,47.57,521.23,8.4604,0
1,134,642.85,1583.62,1402.67,553.2,47.75,521.52,8.4293,0
1,135,642.45,1585.55,1406.83,553.09,47.34,520.99,8.4242,0
1,136,642.84,1584.72,1404.39,554.18,47.43,521.54,8.4469,0
1,137,642.43,1594.69,1405.15,553.39,47.89,521.63,8.449,0
1,138,642.79,1589.82,1413.34,552.91,47.4,521.57,8.4208,0
1,139,643.11,1592.28,1412.6,553.25,47.67,521.03,8.4621,0
1,140,643.05,1590.89,1408.36,552.15,47.51,521.27,8.4397,0
1,141,642.39,1590.02,1415.25,553.45,47.49,521.06,8.4641,0
1,142,642.51,1595.29,1413.42,553.11,47.59,520.44,8.4291,0
1,143,642.77,1593.1,1404.21,553.62,47.52,520.98,8.4419,0
1,144,643.09,1591.89,1405.76,553.77,47.57,521.11,8.4601,0
1,145,642.95,1594.92,1409.63,553.03,47.54,521.13,8.4644,0
1,146,642.72,1586.75,1408.82,552.6,47.63,521.13,8.4312,0
1,147,642.25,1594.85,1409.96,553.09,47.8,520.92,8.4428,0
1,148,643.02,1590.03,1411.89,552.84,47.49,521.08,8.4276,0
1,149,642.9,1592.78,1410.7,552.54,47.83,521.13,8.4731,0
1,150,643.06,1589.01,1409.22,553.57,47.6,520.5,8.4726,0
1,151,642.82,1592.39,1411.94,552.41,47.58,520.94,8.4612,0
1,152,642.67,1598.6,1420.83,552.62,47.72,520.39,8.4572,0
1,153,642.99,1589.17,1414.56,552.68,47.74,520.69,8.4435,0
1,154,642.81,1597.03,1416.07,552.57,47.73,520.72,8.4794,0
1,155,642.83,1590.4,1414.89,552.89,47.61,521.23,8.4729,0
1,156,643.04,1585.61,1421.23,553.24,47.58,520.75,8.4432,0
1,157,642.2,1598.04,1412.47,552.32,47.72,520.94,8.4328,0
1,158,642.88,1596.82,1410.09,553.19,47.68,520.88,8.4368,0
1,159,642.89,1589.54,1420.37,552.18,47.76,520.65,8.4403,0
1,160,643.45,1590.65,1418.08,551.87,47.84,520.47,8.4433,0
1,161,643.0,1594.2,1417.31,552.8,47.77,520.47,8.4405,0
